ID,name,display,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt,Management
AAS,Amadeu Antonio Stiftung,Amadeu Antonio Stiftung,2,99,99,99,99,99,99,8,99,99,99,3,99
Abury ,ABURY Foundation gemeinnützige GmbH,ABURY Foundation,2,99,99,99,99,99,99,2,99,99,99,1,99
Afrikarise,Afrika Rise e.V.,Afrika Rise,2,99,99,99,99,99,99,8,99,99,99,1,99
AKA,Förderkreis AK Asyl e.V.,Förderkreis AK Asyl,2,99,99,99,99,99,99,8,99,99,99,1,99
AlexandraWester,Alexandra Wester,Alexandra Wester,1,2,3,99,99,2,1,99,99,4,2,1,24
Andhim,Andhim,Andhim,1,1,1,99,99,1,2,99,99,4,5,1,26
AntjeSchomaker,Antje Schomaker,Antje Schomaker,1,2,1,99,99,1,2,99,99,2,2,1,18
Arche,Die Arche Christliches Kinder-und Jugendwerk e.V.,Die Arche Christliches Kinder-und Jugendwerk,2,99,99,99,99,99,99,2,99,99,99,1,99
BandaInternationale,Banda Internationale,Banda Internationale,1,99,1,99,99,99,3,99,99,1,99,2,99
Bertelsmann,Bertelsmann Stiftung,Bertelsmann Stiftung,2,99,99,99,99,99,99,2,99,99,99,1,99
BGH,Brass gegen Hass,Brass gegen Hass,2,99,99,99,99,99,99,1,99,99,99,2,99
BPB,Bundeszentrale für politische Bildung,bpb,2,99,99,99,99,99,99,5,99,99,99,1,99
BRKN,BRKN,BRKN,1,1,1,99,99,1,1,99,99,2,2,1,21
BZGA,Bundeszentrale für gesundheitliche Aufklärung,Bundeszentrale für gesundheitliche Aufklärung,2,99,99,99,99,99,99,6,99,99,99,2,99
Caritas,Deutscher Caritasverband e. V.,Deutscher Caritasverband,2,99,99,99,99,99,99,8,99,99,99,1,99
CI,Cultures Interactive e.V.,Cultures Interactive,2,99,99,99,99,99,99,2,99,99,99,2,99
CMA,Civil March for Aleppo,Civil March for Aleppo,2,99,99,99,99,99,99,5,8,99,99,2,99
CSD,Berliner CSD e.V.,Berliner CSD,2,99,99,99,99,99,99,8,99,99,99,1,99
DanJuergen,Dan Jürgen,Dan Jürgen,1,1,5,99,99,1,2,99,99,5,2,1,99
DeutschesKinderhilfswerk,Deutsches Kinderhilfswerk e.V. (Bildungspaket für Flüchtlingskinder),Deutsches Kinderhilfswerk,2,99,99,99,99,99,99,2,99,99,99,1,99
DGVN,Deutsche Gesellschaft für die Vereinten Nationen e.V.,Deutsche Gesellschaft für die Vereinten Nationen,2,99,99,99,99,99,99,2,99,99,99,2,99
DJChino,DJ Chino,DJ Chino,1,1,1,99,99,1,1,99,99,1,3,1,1
DKMS,DKMS gemeinnützige GmbH,DKMS,2,99,99,99,99,99,99,6,99,99,99,3,99
DMS,Deutsche Meeresstiftung,Deutsche Meeresstiftung,2,99,99,99,99,99,99,4,99,99,99,2,99
DonCali,Don Cali,Don Cali,1,1,1,99,99,2,1,99,99,1,99,1,23
DRK,Deutsches Rotes Kreuz e.V.,Deutsches Rotes Kreuz,2,99,99,99,99,99,99,6,8,99,99,3,99
DSF,Daseinsfreunde,Daseinsfreunde,2,99,99,99,99,99,99,5,8,99,99,2,99
Elisa,Elisa,Elisa,1,2,5,99,99,1,2,99,99,4,2,1,99
EnnoBunger,Enno Bunger,Enno Bunger,1,1,1,99,99,1,2,99,99,1,3,2,7
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,2,99,99,99,99,99,99,5,99,99,99,1,99
FFK,Förderverein für Knochenmarktransplantation,Förderverein für Knochenmarktransplantation,2,99,99,99,99,99,99,6,99,99,99,2,99
FourColours,Four Colours,Four Colours,1,99,1,99,99,99,3,99,99,1,99,2,9
FrederickLau,Frederick Lau,Frederick Lau,1,1,2,99,99,1,2,99,99,4,2,1,15
Friedensdorf,Aktion Friedensdorf e.V.,Aktion Friedensdorf,2,99,99,99,99,99,99,2,99,99,99,2,99
Friedensmusik,Friedensmusik,Friedensmusik,2,99,99,99,99,99,99,5,8,99,99,2,99
Fruchtmax,Fruchtmax,Fruchtmax,1,1,1,99,99,1,2,99,99,2,99,1,29
FT,Förderturm Ideen für Essener Kinder e.V.,Förderturm Ideen für Essener Kinder,2,99,99,99,99,99,99,2,99,99,99,1,99
FWB,Friends with benefits,Friends with benefits,2,99,99,99,99,99,99,8,99,99,99,1,99
Gleis,Gleis 8,Gleis 8,1,99,1,99,99,99,3,99,99,1,99,2,99
GP,Greenpeace e.V.,Greenpeace,2,99,99,99,99,99,99,4,99,99,99,2,99
GV,GoVolunteer e.V.,GoVolunteer,2,99,99,99,99,99,99,5,8,99,99,2,99
Herzenssache,Herzenssache e.V.,Herzenssache,2,99,99,99,99,99,99,2,99,99,99,1,99
HKH,Haiti Kinder Hilfe e.V.,Haiti Kinder Hilfe,2,99,99,99,99,99,99,2,99,99,99,2,99
ILIRA,ILIRA,ILIRA,1,2,1,99,99,2,1,99,99,2,2,1,2
IMC,International Media Corps,International Media Corps,2,99,99,99,99,99,99,6,99,99,99,1,99
INBP,Inklusives Netzwerk Bad Pyrmont e.V.,Inklusives Netzwerk Bad Pyrmont,2,99,99,99,99,99,99,8,99,99,99,2,99
JanSosniok,Jan Sosniok,Jan Sosniok,1,1,2,6,99,1,2,99,99,1,4,1,22
JG,Jane Goodall Institut – Deutschland e.V.,Jane Goodall Institut – Deutschland,2,99,99,99,99,99,99,4,99,99,99,2,99
JoseCarreras,José Carreras Leukämie Stiftung,José Carreras Leukämie Stiftung,2,99,99,99,99,99,99,6,99,99,99,1,99
JoshikoSaibou,Joshiko Saibou,Joshiko Saibou,1,1,3,99,99,1,1,99,99,1,2,1,28
KhebezDawle,KhebezDawle,KhebezDawle,1,99,1,99,99,99,3,99,99,99,99,2,8
KinderhospizRegenbogenland,Förderverein Kinder- und Jugendhospiz Düsseldorf e.V.,Förderverein Kinder- und Jugendhospiz Düsseldorf,2,99,99,99,99,99,99,2,99,99,99,1,99
Kindernothilfe,Kindernothilfe,Kindernothilfe,2,99,99,99,99,99,99,2,99,99,99,1,99
KJF,Katholische Jugendfürsorge der Diözese Regensburg e.V.,Katholische Jugendfürsorge der Diözese Regensburg,2,99,99,99,99,99,99,7,99,99,99,1,99
Klinikclowns,Potsdamer Klinikclowns e.V.,Potsdamer Klinikclowns,2,99,99,99,99,99,99,6,99,99,99,1,99
KMII,Kein Mensch ist illegal,Kein Mensch ist illegal,2,99,99,99,99,99,99,5,8,99,99,2,99
KoolSavas,KoolSavas,KoolSavas,1,1,1,99,99,1,1,99,99,8,4,1,1
Krebsberatung,Krebsberatungsstelle Münster,Krebsberatungsstelle Münster,2,99,99,99,99,99,99,6,99,99,99,2,99
LandeskriminalamtBW,Landeskriminalamt Baden- Würtemberg,Landeskriminalamt BW,2,99,99,99,99,99,99,8,99,99,99,1,99
Lebenshilfe,Bundesvereinigung Lebenshilfe e.V.,Bundesvereinigung Lebenshilfe,2,99,99,99,99,99,99,7,99,99,99,1,99
LeslieClio,Leslie Clio,Leslie Clio,1,2,1,99,99,1,2,99,99,2,3,2,6
LGN,Laut gegen Nazis,Laut gegen Nazis,2,99,99,99,99,99,99,5,99,99,99,3,99
MalEleve,Mal Élevé,Mal Élevé,1,1,1,99,99,1,1,99,99,1,3,2,12
Mateo,Mateo Jasik,Mateo Jasik,1,1,1,99,99,1,1,99,99,2,3,1,1
MattenZwei,MattenZwei,MattenZwei,1,1,1,99,99,1,2,99,99,1,99,2,99
MatthiasKilling,Matthias Killing,Matthias Killing,1,1,4,99,99,1,2,99,99,4,3,1,19
MBS,Musik bewegt Stiftung,Musik bewegt Stiftung,2,99,99,99,99,99,99,8,99,99,99,2,99
MissPlatnum,Miss Platnum,Miss Platnum,1,2,1,99,99,2,1,99,99,2,3,1,20
MMM,Mensch Mensch Mensch e.V.,Mensch Mensch Mensch,2,99,99,99,99,99,99,8,99,99,99,2,99
MSN,Make Some Noise,Make Some Noise,2,99,99,99,99,99,99,8,99,99,99,2,99
Myclimate,myclimate Deutschland gGmbH,myclimate Deutschland,2,99,99,99,99,99,99,4,99,99,99,2,99
Namika,Namika,Namika,1,2,1,99,99,1,1,99,99,5,2,1,1
NewSway,New Sway,New Sway,1,99,1,99,99,99,3,99,99,99,99,2,99
Nura,Nura,Nura,1,1,1,99,99,2,1,99,99,9,2,1,14
